"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\assets\AppHistoryWidgets\barberHistory.tsx", "TypeScript JSX", 197, 0, 11, 208
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\assets\AppHistoryWidgets\clientHistory.tsx", "TypeScript JSX", 124, 0, 6, 130
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\assets\AuthWidgets\logInFiled.tsx", "TypeScript JSX", 105, 0, 4, 109
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\assets\AuthWidgets\registerField.tsx", "TypeScript JSX", 144, 0, 5, 149
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\assets\AuthWidgets\resetFiled.tsx", "TypeScript JSX", 109, 0, 2, 111
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\assets\BarberProfileWidgets\description.tsx", "TypeScript JSX", 59, 0, 2, 61
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\assets\BarberProfileWidgets\gallery.tsx", "TypeScript JSX", 48, 0, 2, 50
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\assets\HomeWidgets\barbersView.tsx", "TypeScript JSX", 106, 0, 6, 112
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\assets\HomeWidgets\photoView.tsx", "TypeScript JSX", 60, 1, 8, 69
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\assets\TimeSelectWidgets\dateDisplay.tsx", "TypeScript JSX", 69, 2, 3, 74
"c:\Users\paulm\Desktop\Aplicatie Alin\FrontendExpo\assets\TimeSelectWidgets\timeDisplay.tsx", "TypeScript JSX", 58, 0, 10, 68
"Total", "-", 1079, 3, 59, 1141
