"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"d:\Aplicatie alin\frontendAlin\app\(app)\(tabs)\appointments.tsx", "TypeScript JSX", -50, 0, 0, -4, -54
"d:\Aplicatie alin\frontendAlin\app\(app)\(tabs)\settings.tsx", "TypeScript JSX", -91, 0, -2, -6, -99
"d:\Aplicatie alin\frontendAlin\app\(app)\_layout.tsx", "TypeScript JSX", -49, 0, 0, -2, -51
"d:\Aplicatie alin\frontendAlin\app\(app)\index.tsx", "TypeScript JSX", -55, 0, 0, -3, -58
"d:\Aplicatie alin\frontendAlin\app\(auth)\login.tsx", "TypeScript JSX", -30, 0, 0, -3, -33
"d:\Aplicatie alin\frontendAlin\app\(auth)\register.tsx", "TypeScript JSX", -30, 0, 0, -3, -33
"d:\Aplicatie alin\frontendAlin\app\(auth)\reset.tsx", "TypeScript JSX", -30, 0, 0, -3, -33
"d:\Aplicatie alin\frontendAlin\app\(booking)\(tabs)\getfastestapp\[data].tsx", "TypeScript JSX", -155, 0, -2, -10, -167
"d:\Aplicatie alin\frontendAlin\app\(booking)\(tabs)\serviceselect\[id].tsx", "TypeScript JSX", -138, 0, 0, -7, -145
"d:\Aplicatie alin\frontendAlin\app\(booking)\(tabs)\timeselect\[data].tsx", "TypeScript JSX", -220, 0, -1, -9, -230
"d:\Aplicatie alin\frontendAlin\app\(booking)\_layout.tsx", "TypeScript JSX", -33, 0, 0, -6, -39
"d:\Aplicatie alin\frontendAlin\app\(booking)\index.tsx", "TypeScript JSX", -57, 0, -1, -5, -63
"d:\Aplicatie alin\frontendAlin\app\(profile)\[id].tsx", "TypeScript JSX", -99, 0, 0, -5, -104
"d:\Aplicatie alin\frontendAlin\app\_layout.tsx", "TypeScript JSX", -31, 0, 0, -7, -38
"d:\Aplicatie alin\frontendAlin\assets\AppHistoryWidgets\barberHistory.tsx", "TypeScript JSX", 244, 0, 0, 11, 255
"d:\Aplicatie alin\frontendAlin\assets\AppHistoryWidgets\clientHistory.tsx", "TypeScript JSX", 172, 0, 0, 9, 181
"d:\Aplicatie alin\frontendAlin\assets\AuthWidgets\logInFiled.tsx", "TypeScript JSX", 105, 0, 0, 4, 109
"d:\Aplicatie alin\frontendAlin\assets\AuthWidgets\registerField.tsx", "TypeScript JSX", 144, 0, 0, 5, 149
"d:\Aplicatie alin\frontendAlin\assets\AuthWidgets\resetFiled.tsx", "TypeScript JSX", 109, 0, 0, 2, 111
"d:\Aplicatie alin\frontendAlin\assets\BarberProfileWidgets\description.tsx", "TypeScript JSX", 59, 0, 0, 2, 61
"d:\Aplicatie alin\frontendAlin\assets\BarberProfileWidgets\gallery.tsx", "TypeScript JSX", 48, 0, 0, 2, 50
"d:\Aplicatie alin\frontendAlin\assets\HomeWidgets\barbersView.tsx", "TypeScript JSX", 111, 0, 1, 7, 119
"d:\Aplicatie alin\frontendAlin\assets\HomeWidgets\photoView.tsx", "TypeScript JSX", 72, 0, 2, 7, 81
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\bottommodal.tsx", "TypeScript JSX", 94, 0, 1, 8, 103
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\functions\modifyprofile.ts", "TypeScript", 0, 92, 5, 18, 115
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\functions\modifyservice.ts", "TypeScript", 0, 47, 0, 9, 56
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\functions\photoschange.ts", "TypeScript", 0, 60, 1, 11, 72
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\modasl\addbarber.tsx", "TypeScript JSX", 75, 0, 0, 4, 79
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\modasl\changeemail.tsx", "TypeScript JSX", 0, 0, 0, 1, 1
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\modasl\changepassword.tsx", "TypeScript JSX", 0, 0, 0, 1, 1
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\modasl\changephotos.tsx", "TypeScript JSX", 118, 0, 0, 8, 126
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\modasl\deleteuser.tsx", "TypeScript JSX", 112, 0, 0, 5, 117
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\modasl\modifyprofile.tsx", "TypeScript JSX", 174, 0, 0, 10, 184
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\modasl\modifyservice.tsx", "TypeScript JSX", 207, 0, 0, 12, 219
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\modasl\removebarber.tsx", "TypeScript JSX", 113, 0, 0, 7, 120
"d:\Aplicatie alin\frontendAlin\assets\SettingsWidgets\modasl\verifyuser.tsx", "TypeScript JSX", 125, 0, 0, 8, 133
"d:\Aplicatie alin\frontendAlin\assets\TimeSelectWidgets\dateDisplay.tsx", "TypeScript JSX", 69, 0, 2, 3, 74
"d:\Aplicatie alin\frontendAlin\assets\TimeSelectWidgets\timeDisplay.tsx", "TypeScript JSX", 58, 0, 0, 10, 68
"Total", "-", 1141, 199, 6, 91, 1437
